,Ticker,Name,Exchange,Category Name,Country,ratio,earnings,dividends
9804,AALB.AS,Aalberts Industries N.V.,AMS,Diversified Machinery,Netherlands,2.129008477699963,2841300000.0,True
9835,ALPA3.SA,Alpargatas S.A.,SAO,Textile - Apparel Footwear & Accessories,Brazil,2.52988618410158,3712184000.0,True
9842,LATO-B.ST,Investment AB Latour (publ),STO,Asset Management,Sweden,3.0851982097186696,13738000000.0,True
9848,BOL.ST,Boliden AB (publ.),STO,Industrial Metals & Minerals,Sweden,2.6587679622143057,49936000000.0,True
9864,SSAB-B.ST,SSAB AB,STO,Steel & Iron,Sweden,2.8002145347278087,76485000000.0,True
9865,SSAB-A.ST,SSAB AB,STO,Steel & Iron,Sweden,2.8050163775324517,76485000000.0,True
9866,SOF-B.ST,Softronic AB,STO,Business Services,Sweden,2.5236242356864924,720000000.0,True
9871,RROS.ST,Rottneros AB (publ),STO,Paper & Paper Products,Sweden,2.3897280966767367,2376000000.0,True
9880,MIDW-A.ST,Midway Holding AB,STO,Conglomerates,Sweden,2.498442367601246,796000000.0,True
9884,INVE-B.ST,Investor AB,STO,Asset Management,Sweden,4.709502139509612,143876000000.0,True
9887,HMS.ST,HMS Networks AB (publ),STO,Communication Equipment,Sweden,2.3502673796791442,1519000000.0,True
9913,BIOT.ST,Biotage AB,STO,Medical Instruments & Supplies,Sweden,2.9025063887488485,910896000.0,True
9923,ABR.DE,Barrick Gold Corporation,GER,Gold,Germany,3.04785444558874,7243000000.0,True
9940,SKIS-B.ST,SkiStar AB (publ),STO,"Recreational Goods, Other",Sweden,2.056155485643011,2675902000.0,True
9944,AQ.ST,AQ Group AB (publ),STO,Diversified Electronics,Sweden,2.09689420776116,5112602000.0,True
9948,ABR.F,Barrick Gold Corporation,FRA,Gold,France,3.04785444558874,9717000000.0,True
9949,HIQ.ST,HiQ International AB (publ),STO,Business Services,Sweden,2.8246149981383533,1847053000.0,True
9953,BURE.ST,Bure Equity AB,STO,Conglomerates,Sweden,64.6319737458978,4643100000.0,True
9957,INVE-A.ST,Investor AB,STO,Asset Management,Sweden,5.360405250018129,143876000000.0,True
9988,MTG-A.ST,Modern Times Group Mtg AB,STO,Broadcasting - TV,Sweden,3.7628043660789245,4242000000.0,True
9993,LAMM-B.ST,Lammhults Design Group AB (publ),STO,Home Furnishings & Fixtures,Sweden,2.1395242451967063,1022100000.0,True
9998,HUFV-A.ST,Hufvudstaden AB (publ),STO,Property Management,Sweden,2.6553017316405487,1981200000.0,True
10005,MTG-B.ST,Modern Times Group Mtg AB,STO,Broadcasting - TV,Sweden,3.7628043660789245,4242000000.0,True
10035,ORIENTABRA.NS,Orient Abrasives Limited,NSI,Specialty Chemicals,India,2.495540806480063,3129680000.0,True
10041,BIOG-B.ST,BioGaia AB,STO,Drug Manufacturers - Major,Sweden,4.2138635414425485,768347000.0,True
10054,ABBOTINDIA.NS,Abbott India Limited,NSI,Drug Manufacturers - Major,India,3.1543798395068507,36786030000.0,True
10064,MIDW-B.ST,Midway Holding AB,STO,Conglomerates,Sweden,2.498442367601246,796000000.0,True
10066,FABG.ST,Fabege AB (publ),STO,Real Estate Development,Sweden,2.098535943411745,2822000000.0,True
10069,KABE-B.ST,KABE AB (publ.),STO,"Recreational Goods, Other",Sweden,2.9854280510018216,2358000000.0,True
10080,HPOL-B.ST,Hexpol AB (Publ),STO,Specialty Chemicals,Sweden,2.272134567740253,15508000000.0,True
10092,IMPAL.NS,India Motor Parts and Accessories Limited,NSI,Auto Parts,India,9.309935744678407,5242012000.0,True
10125,ACCELYA.NS,Accelya Kale Solutions Limited,NSI,Information Technology Services,India,3.592313435961888,4330246845.0,True
10129,ACOMO.AS,Amsterdam Commodities N.V.,AMS,Food Wholesale,Netherlands,2.3046445716929838,701441000.0,True
10157,ACR.F,Accor SA,FRA,Lodging,France,2.00750794109154,4049000000.0,True
10159,AC.MX,"Arca Continental, S. A. B. de C. V.",MEX,Beverages - Soft Drinks,Mexico,2.4473281529045128,162727594000.0,True
10163,ACC.NS,ACC Limited,NSI,General Building Materials,India,3.065991537023286,156575500000.0,True
10227,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,NSI,Lodging,India,3.527547131623473,702755025.0,True
10267,CEON.MX,CNOOC Limited,MEX,Independent Oil & Gas,Mexico,2.596567131064136,233199000000.0,True
10311,DRDN.MX,DRDGOLD Limited,MEX,Gold,Mexico,2.960478343298819,2762100000.0,True
10353,ADORWELD.NS,Ador Welding Limited,NSI,Diversified Machinery,India,2.558828791221897,5132800000.0,True
10359,REPA.SG,"Repsol, S.A.",STU,Major Integrated Oil & Gas,Germany,2.009028663489293,42378000000.0,True
10381,VIVN.MX,Telefônica Brasil S.A.,MEX,Wireless Communications,Mexico,2.8622220711535062,44268171000.0,True
10401,SAPA.F,SAP SE,FRA,Technical & System Software,France,2.0486170176572647,27553000000.0,True
10408,NTESN.MX,"NetEase, Inc.",MEX,Internet Information Providers,Mexico,2.868884476276028,59241145000.0,True
10421,CTMA.F,China Mobile Limited,FRA,Wireless Communications,France,3.121442434251492,745917000000.0,True
10425,GAZ.DE,Public Joint Stock Company Gazprom,GER,Major Integrated Oil & Gas,Germany,2.9584291911888165,8224177000000.0,True
10431,IFXA.F,Infineon Technologies AG,FRA,Semiconductor - Broad Line,France,2.806444862942038,8029000000.0,True
10442,RIOA.F,Rio Tinto plc,FRA,Industrial Metals & Minerals,France,2.063016917293233,43165000000.0,True
10461,AE9.F,Agnico Eagle Mines Limited,FRA,Gold,France,2.389613500106433,2494892000.0,True
10517,P8Z.SI,Bumitama Agri Ltd.,SES,Farm Products,Singapore,2.1769866621539933,7691341000000.0,True
10535,ATFL.NS,Agro Tech Foods Limited,NSI,Food - Major Diversified,India,5.0410341199458895,8236610000.0,True
10545,AGL.AX,AGL Energy Limited,ASX,Diversified Utilities,Australia,2.3219489268369107,13246000000.0,True
10604,AGLN.MX,Anglo American plc,MEX,Industrial Metals & Minerals,Mexico,2.2672104009367304,29870000000.0,True
10679,DHANUKA.NS,Dhanuka Agritech Limited,NSI,Agricultural Chemicals,India,4.325775398632549,10058380000.0,True
10714,AHLEAST.NS,Asian Hotels (East) Limited,NSI,Lodging,India,5.079404640145441,2023523295.0,True
10729,AIAENG.NS,AIA Engineering Limited,NSI,Diversified Machinery,India,7.910944073406963,30694999000.0,True
10730,AIA.NZ,Auckland International Airport Limited,NZE,"Air Services, Other",New Zealand,3.2644320996922147,734900000.0,True
10765,AJANTPHARM.NS,Ajanta Pharma Limited,NSI,Drug Manufacturers - Major,India,5.9786238552453606,20553700000.0,True
10774,HOLM-B.ST,Holmen Aktiebolag (publ),STO,Paper & Paper Products,Sweden,3.0859639086795987,17330000000.0,True
10775,HOLM-A.ST,Holmen Aktiebolag (publ),STO,Paper & Paper Products,Sweden,3.0859639086795987,17330000000.0,True
10778,AKZOINDIA.NS,Akzo Nobel India Limited,NSI,Specialty Chemicals,India,2.1816763727121464,29184000000.0,True
10793,SCHO.CO,Aktieselskabet Schouw & Co.,CPH,Conglomerates,Denmark,2.0456466610312765,20946000000.0,True
10812,ATE.PA,Alten SA,PAR,Information Technology Services,France,2.1884222110970093,2623990000.0,True
10874,GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited,NSI,Chemicals - Major Diversified,India,4.477080225867238,31613777000.0,True
10929,ALKALI.NS,Alkali Metals Limited,NSI,Specialty Chemicals,India,2.3358445866875623,715562263.0,True
10933,ALQ.AX,ALS Limited,ASX,Business Services,Australia,2.025755462575546,1664800000.0,True
10939,ALEMBICLTD.NS,Alembic Limited,NSI,Drugs - Generic,India,22.083892184228894,1238099000.0,True
10941,NATIONALUM.NS,National Aluminium Company Limited,NSI,Aluminum,India,3.2488048129202456,114993200000.0,True
10943,ALLCARGO.NS,Allcargo Logistics Limited,NSI,Air Delivery & Freight Services,India,2.063746404980879,68948600000.0,True
10952,MAITHANALL.NS,Maithan Alloys Limited,NSI,Steel & Iron,India,3.7428200537285448,19879301000.0,True
11008,ALPHAGEO.NS,Alphageo (India) Limited,NSI,Oil & Gas Equipment & Services,India,3.212137665468345,4050768991.0,True
11017,PA2.F,Pan American Silver Corp.,FRA,Silver,France,3.4831521498516858,1350759000.0,True
11021,GAEL.NS,Gujarat Ambuja Exports Limited,NSI,Food - Major Diversified,India,3.383492464294169,40272200000.0,True
11025,BANARISUG.NS,Bannari Amman Sugars Limited,NSI,Confectioners,India,2.188206050145172,11249861000.0,True
11037,AMBIKCO.NS,Ambika Cotton Mills Limited,NSI,Textile Industrial,India,4.423830601936482,6555997000.0,True
11046,NGLB.SG,Anglo American PLC Registered S,STU,Industrial Metals & Minerals,Germany,2.1247322715059,26243000000.0,True
11058,AMBUJACEM.NS,Ambuja Cements Limited,NSI,General Building Materials,India,3.875764763074157,271035500000.0,True
11059,AMDIND.NS,AMD Industries Limited,NSI,Packaging & Containers,India,2.0518194505905982,1557206000.0,True
11070,AMRUTANJAN.NS,Amrutanjan Health Care Limited,NSI,Drugs - Generic,India,4.480095326562728,2535263000.0,True
11084,BALAMINES.NS,Balaji Amines Limited,NSI,Specialty Chemicals,India,2.304348477480969,9468361062.0,True
11089,AMARAJABAT.NS,Amara Raja Batteries Limited,NSI,Diversified Machinery,India,3.873399617459032,67931100000.0,True
11128,ATM.AX,Perusahaan Perseroan (Persero) PT Aneka Tambang Tbk,ASX,Industrial Metals & Minerals,Australia,2.4549272361191368,25241268367000.0,True
11136,ANANTRAJ.NS,Anant Raj Limited,NSI,Property Management,India,2.2391071719357014,5002800000.0,True
11156,SESHAPAPER.NS,Seshasayee Paper and Boards Limited,NSI,Paper & Paper Products,India,2.6450870245878995,13128300000.0,True
11162,MADHAV.NS,Madhav Marbles and Granites Limited,NSI,General Building Materials,India,4.549084227308019,769570120.0,True
11169,BALMLAWRIE.NS,Balmer Lawrie & Co. Limited,NSI,Conglomerates,India,3.2101419959955764,17752081000.0,True
11173,PGHH.NS,Procter & Gamble Hygiene and Health Care Limited,NSI,Personal Products,India,2.2576053123054574,29465000000.0,True
11174,HDG.AS,Hunter Douglas N.V.,AMS,Home Furnishings & Fixtures,Netherlands,2.070025980303305,3686300000.0,True
11200,ANDHRSUGAR.NS,The Andhra Sugars Limited,NSI,Chemicals - Major Diversified,India,2.861476769298585,13763779000.0,True
11204,CARERATING.NS,CARE Ratings Limited,NSI,Investment Brokerage - National,India,9.797941119784905,3189691000.0,True
11251,APTECHT.NS,Aptech Limited,NSI,Education & Training Services,India,6.395047057981082,2085515000.0,True
11262,AP4.SI,Riverstone Holdings Limited,SES,Rubber & Plastics,Singapore,6.511820644584707,988968000.0,True
11266,APOLLOTYRE.NS,Apollo Tyres Limited,NSI,Rubber & Plastics,India,2.00358999810574,172733920000.0,True
11268,APCOTEXIND.NS,Apcotex Industries Limited,NSI,Rubber & Plastics,India,3.797859438115097,6256665000.0,True
11291,INTC.BA,Intel Corporation,BUE,Semiconductor - Broad Line,Argentina,2.313181972212809,71965000000.0,True
11312,CVX.BA,Chevron Corporation,BUE,Major Integrated Oil & Gas,Argentina,2.574582520060724,139865000000.0,True
11329,ARCHIES.NS,Archies Limited,NSI,"Specialty Retail, Other",India,3.3381651892388837,1613644000.0,True
11373,ARA.MX,"Consorcio ARA, S. A. B. de C. V.",MEX,Residential Construction,Mexico,2.811630930562276,7678505000.0,True
11375,TECO2.BA,Telecom Argentina S.A.,BUE,Wireless Communications,Argentina,2.154831832548154,237024000000.0,True
11376,AROGRANITE.NS,Aro Granite Industries Limited,NSI,General Building Materials,India,2.103929745297916,1724365000.0,True
11388,OEST.BA,Grupo Concesionario del Oeste S.A.,BUE,Heavy Construction,Argentina,2.1699709837562584,5495158849.0,True
11391,BOLT.BA,Boldt S.A.,BUE,Information Technology Services,Argentina,6.553153680157857,2818582709.0,True
11431,TGSU2.BA,Transportadora de Gas Del Sur S.A.,BUE,Gas Utilities,Argentina,2.0119031675166488,48561494000.0,True
11432,ESME.BA,Bodegas Esmeralda S.A.,BUE,Beverages - Wineries & Distillers,Argentina,2.513002853167233,6022030752.0,True
11437,ASIANPAINT.NS,Asian Paints Limited,NSI,Specialty Chemicals,India,2.7102338113622872,191857700000.0,True
11445,LSG.OL,Lerøy Seafood Group Asa,OSL,Food - Major Diversified,Norway,2.429512475648086,20426902000.0,True
11486,EIHAHOTELS.NS,EIH Associated Hotels Limited,NSI,Lodging,India,4.704309199981681,2693220000.0,True
11488,ASM.AS,ASM International NV,AMS,Semiconductor Equipment & Materials,Netherlands,6.101577051681964,1283860000.0,True
11490,POL.OL,Polaris Media ASA,OSL,Publishing - Newspapers,Norway,2.2844115781964223,2342668000.0,True
11496,ASTRAMICRO.NS,Astra Microwave Products Limited,NSI,Communication Equipment,India,5.286719845406383,3042839000.0,True
11516,ASTRAZEN.NS,AstraZeneca Pharma India Limited,NSI,Drug Manufacturers - Major,India,2.152490421455939,7282900000.0,True
11523,A17U.SI,Ascendas Real Estate Investment Trust,SES,REIT - Industrial,Singapore,2.5546681498624606,886664000.0,True
11524,ASTRAL.NS,Astral Poly Technik Limited,NSI,Rubber & Plastics,India,2.6026964584264483,25072924000.0,True
11534,ASAHISONG.NS,Asahi Songwon Colors Limited,NSI,Chemicals - Major Diversified,India,2.676628260244504,2936204000.0,True
11535,ASHIANA.NS,Ashiana Housing Limited,NSI,Real Estate Development,India,2.897001019071189,3322500000.0,True
11543,SALM.OL,SalMar ASA,OSL,Farm Products,Norway,2.5243943138781813,12237600000.0,True
11577,ATUL.NS,Atul Ltd,NSI,Chemicals - Major Diversified,India,4.351312526090907,40378100000.0,True
11621,ATULAUTO.NS,Atul Auto Limited,NSI,Auto Manufacturers - Major,India,3.76095411351046,6648828000.0,True
11653,GPT.AX,GPT Group,ASX,REIT - Diversified,Australia,3.364594692838968,718600000.0,True
11674,BAJAJ-AUTO.NS,Bajaj Auto Limited,NSI,Auto Manufacturers - Major,India,5.148459358746131,315881800000.0,True
11697,SGM.AX,Sims Metal Management Limited,ASX,Steel & Iron,Australia,3.5924213375437013,6651900000.0,True
11703,SCG.AX,Scentre Group,ASX,Property Management,Australia,2.441516941630192,2616400000.0,True
11745,NCM.AX,Newcrest Mining Limited,ASX,Gold,Australia,2.8143128863528295,3742000000.0,True
11751,MUNJALAU.NS,Munjal Auto Industries Limited,NSI,Auto Parts,India,2.211839336231284,12140343000.0,True
11757,MPL.AX,Medibank Private Limited,ASX,Property & Casualty Insurance,Australia,2.141559513979002,6765000000.0,True
11760,MND.AX,Monadelphous Group Limited,ASX,General Contractors,Australia,2.359539105423606,1479737000.0,True
11772,MAH.AX,Macmahon Holdings Limited,ASX,General Contractors,Australia,2.186412465841653,1102984000.0,True
11832,EVT.AX,Event Hospitality & Entertainment Limited,ASX,Diversified Utilities,Australia,2.7276008648173256,995879000.0,True
11901,BSL.AX,BlueScope Steel Limited,ASX,Steel & Iron,Australia,2.6858409111784702,12573100000.0,True
11905,BRG.AX,Breville Group Limited,ASX,Electronic Equipment,Australia,2.556094307834249,759967000.0,True
12004,LUMAXTECH.NS,Lumax Auto Technologies Limited,NSI,Auto Parts,India,2.2809682406817604,11869787000.0,True
12039,AVTNPL.NS,AVT Natural Products Limited,NSI,Specialty Chemicals,India,2.8344102515125824,3391536000.0,True
12051,0595.HK,AV CONCEPT HOLD,HKG,"Specialty Retail, Other",Hong Kong,6.538503164949732,1698796000.0,True
12085,AUTOAXLES.NS,Automotive Axles Limited,NSI,Auto Parts,India,2.363719252745472,19390420000.0,True
12130,BAR.BR,Barco NV,BRU,Diversified Electronics,Belgium,2.708432712224872,1082570000.0,True
12229,DANHOS13.MX,"Concentradora Fibra Danhos, S.A. de C.V.",MEX,REIT - Diversified,Mexico,8.44572435554443,5152971813.0,True
12256,BACHOCOB.MX,"Industrias Bachoco, S.A.B. de C.V.",MEX,Farm Products,Mexico,3.5990911618047865,61052092000.0,True
12273,BBL.NS,Bharat Bijlee Limited,NSI,Diversified Machinery,India,2.8967813540510545,9323223000.0,True
12274,KHCB34.SA,The Kraft Heinz Company,SAO,Food - Major Diversified,Brazil,2.04120641435786,24977000000.0,True
12278,DISB34.SA,The Walt Disney Company,SAO,Entertainment - Diversified,Brazil,2.12860466137032,69570000000.0,True
12295,BBTC.NS,"The Bombay Burmah Trading Corporation, Limited",NSI,Farm Products,India,3.4011658048064515,116387709000.0,True
12331,BCAM.PA,Societe Anonyme des Brasseries du Cameroun,PAR,Beverages - Brewers,France,2.1299692309385443,332755438000.0,True
12360,BDT.F,Bertrandt Aktiengesellschaft,FRA,Auto Parts,France,2.0630711534045973,1059870000.0,True
12369,SOF.BR,Sofina Société Anonyme,BRU,Asset Management,Belgium,148.36037010566167,1238318000.0,True
12418,PIC.BR,Picanol NV,BRU,Diversified Machinery,Belgium,2.065506729124842,2221400000.0,True
12430,TATAGLOBAL.NS,Tata Global Beverages Limited,NSI,Food - Major Diversified,India,4.240882392850912,72515000000.0,True
12438,BERGEPAINT.NS,Berger Paints India Limited,NSI,Specialty Chemicals,India,2.312555989631648,60618600000.0,True
12443,BEI.F,Beiersdorf Aktiengesellschaft,FRA,Personal Products,France,2.533987915407855,7653000000.0,True
12451,BELA.AT,Jumbo S.A.,ATH,"Recreational Goods, Other",Greece,4.337180707627705,812177688.0,True
12453,L09.SI,Lung Kee (Bermuda) Holdings Limited,SES,Metal Fabrication,Singapore,5.644177733277122,2326913000.0,True
12469,NRBBEARING.NS,NRB Bearings Limited,NSI,Auto Parts,India,2.0258443779392903,9648500000.0,True
12494,BKGN.MX,The Berkeley Group Holdings plc,MEX,Residential Construction,Mexico,2.5007090043553126,2957400000.0,True
12533,BGA.AX,Bega Cheese Limited,ASX,Food - Major Diversified,Australia,2.246415523150265,1419952000.0,True
12537,INFRATEL.NS,Bharti Infratel Limited,NSI,Wireless Communications,India,6.591442533379508,68262000000.0,True
12543,BIL.DE,BHP Billiton plc,GER,Industrial Metals & Minerals,Germany,2.0568346350714766,44609000000.0,True
12548,BIL.F,BHP Billiton plc,FRA,Industrial Metals & Minerals,France,2.0568346350714766,44609000000.0,True
12561,BHPN.MX,BHP Billiton Limited,MEX,Industrial Metals & Minerals,Mexico,2.0568346350714766,44609000000.0,True
12566,BHARATRAS.NS,Bharat Rasayan Limited,NSI,Agricultural Chemicals,India,2.1784974648907256,9921772000.0,True
12569,BEPL.NS,Bhansali Engineering Polymers Limited,NSI,Chemicals - Major Diversified,India,2.288481097723514,12247799000.0,True
12593,BIM.PA,bioMérieux S.A.,PAR,Medical Laboratories & Research,France,2.476199829764945,2421300000.0,True
12687,HESTERBIO.NS,Hester Biosciences Limited,NSI,Drug Manufacturers - Major,India,2.5313683876101027,1841656989.0,True
12696,FUNO11.MX,Fibra UNO,MEX,REIT - Diversified,Mexico,2.452032049026008,19189083000.0,True
12702,FIHO12.MX,"Concentradora Fibra Hotelera Mexicana, S.A. de C.V.",MEX,REIT - Hotel/Motel,Mexico,3.4694690283652907,4371969000.0,True
12704,FIBRAPL14.MX,FIBRA Prologis,MEX,REIT - Industrial,Mexico,2.9926935259717387,3824765000.0,True
12732,BLISSGVS.NS,Bliss Gvs Pharma Limited,NSI,Drug Manufacturers - Major,India,3.6931629649069175,8982492000.0,True
12759,0878.HK,SOUNDWILL HOLD,HKG,Asset Management,Hong Kong,7.843237642307741,733872000.0,True
12768,0506.HK,CHINA FOODS,HKG,Food - Major Diversified,Hong Kong,2.0247121325099227,17172027000.0,True
12769,0385.HK,CHINNEY ALLI,HKG,General Building Materials,Hong Kong,2.078212111418534,5219559000.0,True
12775,0135.HK,KUNLUN ENERGY,HKG,Independent Oil & Gas,Hong Kong,2.152418791477471,113313000000.0,True
12780,1218.HK,EASYKNIT INT'L,HKG,Textile - Apparel Clothing,Hong Kong,3.3977669914068778,830347000.0,True
12783,1123.HK,CHINA-HK PHOTO,HKG,"Recreational Goods, Other",Hong Kong,4.371987880633694,959045000.0,True
12785,1047.HK,NGAI HING HONG,HKG,Rubber & Plastics,Hong Kong,2.01047350575619,1852680000.0,True
12786,1045.HK,APT SATELLITE,HKG,Wireless Communications,Hong Kong,5.756387305431068,1062565000.0,True
12788,1038.HK,CKI HOLDINGS,HKG,Heavy Construction,Hong Kong,3.0869167087140963,7988000000.0,True
12789,1031.HK,KINGSTON FIN,HKG,Lodging,Hong Kong,2.5672661260310767,2235646000.0,True
12790,0999.HK,I.T,HKG,Apparel Stores,Hong Kong,2.481320414564608,8832157000.0,True
12793,0912.HK,SUGA INT'L,HKG,Electronic Equipment,Hong Kong,3.278644605022357,1681862000.0,True
12799,0710.HK,BOE VARITRONIX,HKG,Diversified Electronics,Hong Kong,4.5196563025274585,3627896000.0,True
12800,0709.HK,GIORDANO INT'L,HKG,Apparel Stores,Hong Kong,2.212005108556833,4852000000.0,True
